case_id,case_type,status,opened_date,assigned_analyst,total_suspicious_amount,full_name,risk_rating,alert_count
CASE_D6408508,enhanced_due_diligence,open,2026-06-02,analyst_2,154.0,Sean Henry,low,2
CASE_6B135D34,enhanced_due_diligence,open,2026-06-02,analyst_1,150.0,Ashley Weiss,low,2
CASE_91DA781A,enhanced_due_diligence,open,2026-06-02,analyst_2,150.0,Paul Castaneda,low,2
CASE_BD36BEBD,enhanced_due_diligence,open,2026-06-02,analyst_2,149.5,Erik Charles,medium,2
CASE_7BCB0B64,enhanced_due_diligence,open,2026-06-02,analyst_2,147.0,Tyler Reid,low,2
CASE_D8162279,enhanced_due_diligence,open,2026-06-02,analyst_2,147.0,Jasmine Beltran,low,2
CASE_FB1B8578,enhanced_due_diligence,open,2026-06-02,analyst_4,147.0,Kimberly Ball,low,2
CASE_C3DE2187,enhanced_due_diligence,open,2026-06-02,analyst_3,145.0,Victoria Murray,low,2
CASE_106E484A,enhanced_due_diligence,open,2026-06-02,analyst_2,143.0,Shannon Johnston,high,2
CASE_2C7050F1,enhanced_due_diligence,open,2026-06-02,analyst_3,140.0,Spencer Haynes,low,2
CASE_60080DA0,enhanced_due_diligence,open,2026-06-02,analyst_2,140.0,Julia Torres,low,2
CASE_6D806412,enhanced_due_diligence,open,2026-06-02,analyst_2,140.0,Riley Bryant,low,2
CASE_909A6C32,enhanced_due_diligence,open,2026-06-02,analyst_2,140.0,Parker Cain,low,2
CASE_93419F85,enhanced_due_diligence,open,2026-06-02,analyst_3,140.0,Eric Nolan,low,2
CASE_A8FC6DE9,enhanced_due_diligence,open,2026-06-02,analyst_3,140.0,Samuel Jones,low,2
CASE_ADE651A9,enhanced_due_diligence,open,2026-06-02,analyst_3,140.0,Kristen Myers DDS,low,2
CASE_E91F7049,enhanced_due_diligence,open,2026-06-02,analyst_1,140.0,Paul Thompson,low,2
CASE_F6730B98,enhanced_due_diligence,open,2026-06-02,analyst_3,137.0,Sarah Moore,low,2
CASE_6A781A88,enhanced_due_diligence,open,2026-06-02,analyst_4,130.0,Brenda Wright,low,2
CASE_702F57FE,enhanced_due_diligence,open,2026-06-02,analyst_4,130.0,Katherine Davis,low,2
CASE_89428A1E,enhanced_due_diligence,open,2026-06-02,analyst_3,130.0,Evelyn Galvan,low,2
CASE_B8338147,enhanced_due_diligence,open,2026-06-02,analyst_1,130.0,Gabrielle Davis,low,2
CASE_CD4BB6CF,enhanced_due_diligence,open,2026-06-02,analyst_4,130.0,Gabriel Juarez,low,2
CASE_DAC60985,enhanced_due_diligence,open,2026-06-02,analyst_2,126.5,Andrew Payne,medium,2
CASE_C21C41F3,enhanced_due_diligence,open,2026-06-02,analyst_3,120.0,Natasha Williams,low,2
CASE_7EE59309,enhanced_due_diligence,open,2026-06-02,analyst_4,110.0,Hannah Patterson,low,2
CASE_B3955615,enhanced_due_diligence,open,2026-06-02,analyst_4,110.0,Lisa Allen,low,2
CASE_0A830AF6,sar_investigation,open,2026-06-02,analyst_2,100.0,Christopher Smith,high,1
CASE_19254724,sar_investigation,open,2026-06-02,analyst_3,100.0,Julie Alexander,high,1
CASE_9215BCE5,sar_investigation,open,2026-06-02,analyst_1,100.0,Olivia Cole,high,1
CASE_A60AA303,sar_investigation,open,2026-06-02,analyst_4,100.0,Matthew Foster,high,1
CASE_CBE72942,sar_investigation,open,2026-06-02,analyst_3,100.0,Michele Collins,sanctioned,1
CASE_240DC501,sar_investigation,open,2026-06-02,analyst_4,97.75,Danielle Reed,medium,1
CASE_30273817,sar_investigation,open,2026-06-02,analyst_4,97.75,Cheyenne Horton,medium,1
CASE_3346E169,sar_investigation,open,2026-06-02,analyst_3,97.75,Arthur James,medium,1
CASE_3EE2B0EC,sar_investigation,open,2026-06-02,analyst_2,97.75,Raven Taylor,medium,1
CASE_4080FF3F,sar_investigation,open,2026-06-02,analyst_4,97.75,Katie Martinez,medium,1
CASE_5ADA4C26,sar_investigation,open,2026-06-02,analyst_3,97.75,Michael Mccarthy,medium,1
CASE_70DF522E,sar_investigation,open,2026-06-02,analyst_3,97.75,Brian Burton,medium,1
CASE_7300169A,sar_investigation,open,2026-06-02,analyst_2,97.75,Brandon Hayden,medium,1
CASE_7C7C2FFE,sar_investigation,open,2026-06-02,analyst_4,97.75,Nicole Gonzalez,medium,1
CASE_87BEFCBF,sar_investigation,open,2026-06-02,analyst_1,97.75,Christy Douglas,medium,1
CASE_8D206BDD,sar_investigation,open,2026-06-02,analyst_4,97.75,Paul Jones,medium,1
CASE_A413147F,sar_investigation,open,2026-06-02,analyst_3,97.75,Tracy Ramirez,medium,1
CASE_EC4404DF,sar_investigation,open,2026-06-02,analyst_3,97.75,Stephanie Gilbert,medium,1
CASE_8BD536CD,sar_investigation,open,2026-06-02,analyst_3,90.0,Rachael Pearson,low,1
CASE_0AB26307,sar_investigation,open,2026-06-02,analyst_3,85.0,Crystal Johnson,low,1
CASE_1631FF6C,sar_investigation,open,2026-06-02,analyst_2,85.0,Kevin Pacheco,low,1
CASE_1CB02FF2,sar_investigation,open,2026-06-02,analyst_3,85.0,Abigail Pierce,low,1
CASE_1E8CEEAD,sar_investigation,open,2026-06-02,analyst_1,85.0,Cynthia Wallace,low,1
CASE_26C3B71D,sar_investigation,open,2026-06-02,analyst_1,85.0,Kristen Garcia,low,1
CASE_2CA7197F,sar_investigation,open,2026-06-02,analyst_2,85.0,Matthew Hoover,low,1
CASE_2E2B55C5,sar_investigation,open,2026-06-02,analyst_4,85.0,Dawn Fletcher,low,1
CASE_2ED79138,sar_investigation,open,2026-06-02,analyst_3,85.0,Shelley Cook,low,1
CASE_2F5E8780,sar_investigation,open,2026-06-02,analyst_2,85.0,Brittany Kim,low,1
CASE_3023DB77,sar_investigation,open,2026-06-02,analyst_1,85.0,Justin Johnson,low,1
CASE_36B3F6F0,sar_investigation,open,2026-06-02,analyst_2,85.0,Thomas Harrell,low,1
CASE_3BEF8536,sar_investigation,open,2026-06-02,analyst_4,85.0,Michelle Jacobs,low,1
CASE_408023C5,sar_investigation,open,2026-06-02,analyst_1,85.0,Nichole Alvarez,low,1
CASE_59577203,sar_investigation,open,2026-06-02,analyst_4,85.0,Ashley Graham,low,1
CASE_5C22A022,sar_investigation,open,2026-06-02,analyst_3,85.0,Ryan Richardson,low,1
CASE_5DA8B78A,sar_investigation,open,2026-06-02,analyst_3,85.0,Ronnie Jimenez,low,1
CASE_66177A31,sar_investigation,open,2026-06-02,analyst_1,85.0,Jacob Preston,low,1
CASE_6697EC40,sar_investigation,open,2026-06-02,analyst_4,85.0,Bradley Robertson,low,1
CASE_69376CF0,sar_investigation,open,2026-06-02,analyst_3,85.0,Melissa Taylor,low,1
CASE_6A7AE28C,sar_investigation,open,2026-06-02,analyst_1,85.0,Pamela Jackson,low,1
CASE_6C6739FD,sar_investigation,open,2026-06-02,analyst_4,85.0,Craig Morrison,low,1
CASE_6DEE5C5E,sar_investigation,open,2026-06-02,analyst_3,85.0,James Thomas,low,1
CASE_7C0E1EAF,sar_investigation,open,2026-06-02,analyst_3,85.0,Kerry Chavez DDS,low,1
CASE_7FB24D7A,sar_investigation,open,2026-06-02,analyst_4,85.0,Joseph Burch,low,1
CASE_850DB566,sar_investigation,open,2026-06-02,analyst_4,85.0,Gina Wilson,low,1
CASE_860612D5,sar_investigation,open,2026-06-02,analyst_1,85.0,Stephanie Williams,low,1
CASE_A4E1AD29,sar_investigation,open,2026-06-02,analyst_2,85.0,Tracy Ballard,low,1
CASE_A519C8FA,sar_investigation,open,2026-06-02,analyst_2,85.0,Victoria Garcia,low,1
CASE_B54A2967,sar_investigation,open,2026-06-02,analyst_2,85.0,Richard Camacho,low,1
CASE_B56433EB,sar_investigation,open,2026-06-02,analyst_4,85.0,Chad Jones,low,1
CASE_B5EECD9D,sar_investigation,open,2026-06-02,analyst_2,85.0,Christopher Pierce,low,1
CASE_B81EBB36,sar_investigation,open,2026-06-02,analyst_2,85.0,Tyler Webb,low,1
CASE_B8275C60,sar_investigation,open,2026-06-02,analyst_2,85.0,Audrey Harris,low,1
CASE_BE123605,sar_investigation,open,2026-06-02,analyst_1,85.0,Nancy Jennings,low,1
CASE_DBBC2744,sar_investigation,open,2026-06-02,analyst_1,85.0,Katelyn Estrada,low,1
CASE_E1B89006,sar_investigation,open,2026-06-02,analyst_3,85.0,Aimee Montoya,low,1
CASE_E4AB3ED6,sar_investigation,open,2026-06-02,analyst_4,85.0,Larry Dixon,low,1
CASE_EBA9D10E,sar_investigation,open,2026-06-02,analyst_1,85.0,Laura Curtis,low,1
CASE_F5C36B54,sar_investigation,open,2026-06-02,analyst_4,85.0,William Herrera,low,1
